,ts_code,symbol,name,area,industry,list_date
1962,300475.SZ,300475,香农芯创,安徽,元器件,20150610
1963,300476.SZ,300476,胜宏科技,广东,元器件,20150611
1964,300477.SZ,300477,合纵科技,北京,电气设备,20150610
1965,300478.SZ,300478,杭州高新,浙江,塑料,20150610
1966,300479.SZ,300479,神思电子,山东,软件服务,20150612
1967,300480.SZ,300480,光力科技,河南,专用机械,20150702
1968,300481.SZ,300481,濮阳惠成,河南,化工原料,20150630
1969,300482.SZ,300482,万孚生物,广东,医疗保健,20150630
1970,300483.SZ,300483,首华燃气,上海,石油开采,20150630
1971,300484.SZ,300484,蓝海华腾,深圳,电气设备,20160322
1972,300485.SZ,300485,赛升药业,北京,生物制药,20150626
1973,300486.SZ,300486,东杰智能,山西,专用机械,20150630
1974,300487.SZ,300487,蓝晓科技,陕西,化工原料,20150702
1975,300488.SZ,300488,恒锋工具,浙江,机械基件,20150701
1976,300489.SZ,300489,光智科技,黑龙江,元器件,20150701
1977,300490.SZ,300490,华自科技,湖南,电气设备,20151231
1978,300491.SZ,300491,通合科技,河北,电气设备,20151231
1979,300492.SZ,300492,华图山鼎,四川,建筑工程,20151223
1980,300493.SZ,300493,润欣科技,上海,元器件,20151210
1981,300494.SZ,300494,盛天网络,湖北,互联网,20151231
1982,300495.SZ,300495,*ST美尚,深圳,环境保护,20151222
1983,300496.SZ,300496,中科创达,北京,软件服务,20151210
1984,300497.SZ,300497,富祥药业,江西,化学制药,20151222
1985,300498.SZ,300498,温氏股份,广东,农业综合,20151102
1986,300499.SZ,300499,高澜股份,广东,专用机械,20160202
1987,300500.SZ,300500,启迪设计,江苏,建筑工程,20160204
1988,300501.SZ,300501,海顺新材,上海,广告包装,20160204
1989,300502.SZ,300502,新易盛,四川,通信设备,20160303
1990,300503.SZ,300503,昊志机电,广东,机床制造,20160309
1991,300504.SZ,300504,天邑股份,四川,通信设备,20180330
1992,300505.SZ,300505,川金诺,云南,农药化肥,20160315
1993,300506.SZ,300506,名家汇,深圳,建筑工程,20160324
1994,300507.SZ,300507,苏奥传感,江苏,汽车配件,20160429
1995,300508.SZ,300508,维宏股份,上海,软件服务,20160419
1996,300509.SZ,300509,新美星,江苏,专用机械,20160425
1997,300510.SZ,300510,金冠股份,吉林,电气设备,20160506
